,bias,mu_p_upvote,mu_p_active,std_p_ask,std_p_answer,coeff_upvotes,coeff_reputation,n_questions,n_answers
17920,1.1142578125,0.2509765625,0.9541015625,0.991298828125,0.463427734375,-0.4171181167096392,-0.7662563584906352,18695,491686
17921,23.0517578125,0.2509765625,0.9541015625,0.991298828125,0.463427734375,-1.4110472852843257,-1.558740485474773,10125,37017
17922,1.1142578125,0.6142578125,0.9541015625,0.991298828125,0.463427734375,-0.25677431128806927,-0.6308784814372549,18853,517198
17923,1.1142578125,0.2509765625,0.9091796875,0.991298828125,0.463427734375,-0.4043642097921205,-0.7562777731498636,18915,495711
17924,1.1142578125,0.2509765625,0.9541015625,0.384150390625,0.463427734375,-0.39332107769514635,-0.755396631390364,18840,492325
17925,1.1142578125,0.2509765625,0.9541015625,0.991298828125,0.915888671875,-0.39180384069799457,-0.7527628512714205,18700,495728
17926,23.0517578125,0.6142578125,0.9091796875,0.384150390625,0.915888671875,-0.888183726066716,-0.9699871072855384,10223,56922
17927,20.6142578125,0.7509765625,0.4541015625,0.496298828125,0.958427734375,-1.3824866388531418,-1.3376831670754092,10081,32009
17928,3.5517578125,0.7509765625,0.4541015625,0.496298828125,0.958427734375,-0.32429456570912224,-0.6675241610799117,18098,421279
17929,20.6142578125,0.1142578125,0.4541015625,0.496298828125,0.958427734375,-1.7587686640683904,-1.969834724655782,10014,30797
17930,20.6142578125,0.7509765625,0.4091796875,0.496298828125,0.958427734375,-1.4427366459952722,-1.508385289766006,10066,30784
17931,20.6142578125,0.7509765625,0.4541015625,0.879150390625,0.958427734375,-1.2939642802391627,-1.2091797810836744,9888,33591
17932,20.6142578125,0.7509765625,0.4541015625,0.496298828125,0.420888671875,-1.3964646788220842,-1.3799411615712442,9960,30679
17933,3.5517578125,0.1142578125,0.4091796875,0.879150390625,0.420888671875,-0.7201700538395749,-0.8568003740457996,15589,214105
17934,30.3642578125,0.0009765625,0.7041015625,0.743798828125,0.710927734375,-1.6411508545997813,-1.9489305656233729,10028,34263
17935,13.3017578125,0.0009765625,0.7041015625,0.743798828125,0.710927734375,-1.5692091074859755,-1.854975464972274,9951,34600
17936,30.3642578125,0.8642578125,0.7041015625,0.743798828125,0.710927734375,-1.0050402890769323,-1.0188453034459768,10399,43523
17937,30.3642578125,0.0009765625,0.1591796875,0.743798828125,0.710927734375,-2.088851574500548,-2.3989452376435696,9841,23023
17938,30.3642578125,0.0009765625,0.7041015625,0.6316503906250001,0.710927734375,-1.5927232555939106,-1.8241042492195363,9954,34182
17939,30.3642578125,0.0009765625,0.7041015625,0.743798828125,0.173388671875,-1.7664898040154493,-2.0225973618186295,9873,30738
17940,13.3017578125,0.8642578125,0.1591796875,0.6316503906250001,0.173388671875,-1.8340304972562989,-2.036524932557749,10085,21912
17941,10.8642578125,0.5009765625,0.2041015625,0.248798828125,0.215927734375,-1.8920155927991527,-2.191225538324201,9999,22729
17942,32.8017578125,0.5009765625,0.2041015625,0.248798828125,0.215927734375,-2.0009835445761155,-2.041088735819796,9650,22218
